形式,入水口角度,出水口角度,旋轉角度,葉厚,片數,間隙(葉輪與幫浦腳),A(電流),Q(全開流量),揚程,W(瓦數)
2,35,16,30,3,6,0.3,1.56,111.7,11.6,368
2,35,16,30,3,6,0.3,2.11,123,14.4,511
2,35,16,35,3,6,0.3,0.98,88.1,6.6,180.8
2,35,16,35,3,6,0.3,1.39,105.6,9.8,283.8
2,35,16,35,3,6,0.3,1.74,116.6,11.8,376.9
2,35,16,35,3,6,0.3,2.28,127.8,15,519.4
2,35,16,40,3,6,0.3,0.95,88.1,6.4,175.9
2,35,16,40,3,6,0.3,1.38,106.6,9.3,278.9
2,35,16,40,3,6,0.3,1.72,117.9,11.5,372.5
2,35,16,40,3,6,0.3,2.28,128.8,14.3,517.8
2,35,16,45,3,6,0.3,0.91,84.2,6.3,163.3
2,35,16,45,3,6,0.3,1.28,102.2,9.3,255.5
2,35,16,45,3,6,0.3,1.58,112.7,11.1,338.2
2,35,16,45,3,6,0.3,2.08,124.6,14,467.8
2,35,16,50,3,6,0.3,0.99,82.1,6.1,158
2,35,16,50,3,6,0.3,1.41,101.3,9.1,250
2,35,16,50,3,6,0.3,1.74,111.9,11.2,332
2,35,16,50,3,6,0.3,2.2,123.3,14.1,462
